Date,Open,High,Low,Close,Adj Close,Volume
2020-11-13,47.110001,47.790001,45.930000,47.610001,47.610001,15552400
2020-11-16,48.740002,50.090000,48.480000,49.209999,49.209999,29301700
2020-11-17,48.720001,49.619999,48.500000,48.889999,48.889999,16638300
2020-11-18,48.770000,49.950001,48.330002,49.110001,49.110001,17783500
2020-11-19,49.099998,49.910000,48.650002,49.259998,49.259998,13480300
2020-11-20,49.980000,50.750000,48.270000,48.430000,48.430000,17330400
2020-11-23,48.660000,50.880001,48.509998,50.040001,50.040001,17147100
2020-11-24,50.619999,52.150002,50.484001,51.259998,51.259998,16216200
2020-11-25,51.270000,51.450001,49.919998,50.799999,50.799999,11641600
2020-11-27,50.930000,51.189999,50.200001,50.720001,50.720001,8339200
2020-11-30,50.220001,51.005001,48.529999,49.660000,49.660000,17221500
2020-12-01,50.000000,51.410000,49.070000,49.630001,49.630001,20619100
2020-12-02,49.259998,53.450001,48.529999,53.090000,53.090000,30381500
2020-12-03,53.299999,53.490002,52.119999,52.520000,52.520000,13122400
2020-12-04,52.709999,54.860001,52.709999,54.860001,54.860001,22207900
2020-12-07,54.590000,54.869999,53.650002,53.799999,53.799999,13764400
2020-12-08,52.400002,54.220001,52.349998,53.009998,53.009998,26167300
2020-12-09,53.980000,56.020000,53.060001,53.790001,53.790001,46777900
2020-12-10,52.330002,54.619999,51.299999,54.349998,54.349998,20207700
2020-12-11,54.470001,55.025002,52.330002,52.630001,52.630001,16817900
2020-12-14,53.270000,53.439999,51.240002,51.459999,51.459999,19048500
2020-12-15,52.119999,52.825001,50.869999,51.000000,51.000000,17504700
2020-12-16,51.180000,51.680000,50.290001,50.490002,50.490002,19577800
2020-12-17,50.590000,51.299999,50.169998,50.630001,50.630001,19688300
2020-12-18,50.810001,50.950001,49.520000,50.619999,50.619999,24355200
2020-12-21,49.000000,52.349998,48.790001,51.799999,51.799999,23562900
2020-12-22,52.110001,54.360001,51.919998,53.779999,53.779999,23871800
2020-12-23,53.799999,54.090000,52.990002,53.709999,53.709999,12671100
2020-12-24,53.599998,53.625000,52.290001,52.880001,52.880001,6316800
2020-12-28,53.020000,53.130001,51.560001,51.970001,51.970001,12059000
2020-12-29,52.330002,52.990002,51.470001,52.270000,52.270000,10140600
2020-12-30,52.720001,53.849998,52.220001,53.150002,53.150002,9518600
2020-12-31,53.279999,53.279999,51.000000,51.000000,51.000000,13270700
2021-01-04,52.220001,52.320000,49.634998,51.139999,51.139999,17291800
2021-01-05,51.000000,54.189999,50.759998,54.009998,54.009998,21403200
2021-01-06,53.310001,54.070000,52.000000,52.480000,52.480000,17738100
2021-01-07,53.369999,56.250000,53.200001,56.130001,56.130001,23737500
2021-01-08,54.395000,54.790001,52.580002,53.279999,53.279999,37973200
2021-01-11,53.110001,55.000000,52.990002,54.590000,54.590000,23213800
2021-01-12,55.500000,59.389999,55.000000,58.540001,58.540001,52151400
2021-01-13,58.540001,59.880001,57.529999,59.400002,59.400002,24178500
2021-01-14,60.000000,60.029999,56.700001,56.910000,56.910000,26561000
2021-01-15,57.490002,57.900002,55.000000,55.520000,55.520000,23701300
2021-01-19,56.389999,56.841999,55.000000,56.299999,56.299999,16953700
2021-01-20,57.000000,57.980000,55.470001,56.380001,56.380001,16904300
2021-01-21,56.570000,57.000000,55.313999,55.790001,55.790001,13432000
2021-01-22,55.250000,55.470001,54.009998,54.310001,54.310001,19560500
2021-01-25,54.500000,54.520000,49.650002,54.290001,54.290001,40890100
2021-01-26,54.619999,55.520000,51.529999,51.919998,51.919998,25677000
2021-01-27,49.970001,50.860001,47.150002,48.110001,48.110001,33283400
2021-01-28,50.119999,52.520000,49.880001,51.580002,51.580002,28114700
2021-01-29,50.630001,51.490002,49.634998,50.930000,50.930000,18743200
2021-02-01,52.119999,52.900002,51.349998,52.759998,52.759998,15570900
2021-02-02,55.110001,58.029999,54.889999,56.459999,56.459999,30286800
2021-02-03,57.869999,58.130001,56.740002,57.119999,57.119999,13519000
2021-02-04,56.450001,57.849998,56.110001,57.849998,57.849998,13841600
2021-02-05,58.160000,58.708000,57.369999,58.580002,58.580002,15705700
2021-02-08,59.700001,60.110001,58.689999,59.290001,59.290001,18403700
2021-02-09,58.910000,61.060001,58.619999,59.610001,59.610001,23510700
2021-02-10,62.000000,63.500000,60.799999,63.180000,63.180000,36542500
